age_range,gender,study_level,study_year,study_field ,extracurricular_activities,cog_engage1,cog_engage2,cog_engage3,cog_engage4,exercise_improve_cognition,exercise_regulate_emotion,nature_improve,nutritional_balanced_freq,junk_food_freq,nutritional_mood_focus,creative_activities_benefits,doomscroll_exhaust,screen_time,screen_content,sleep_deprivation_reason,sleep_disrupt_flexibility,multitask_check_phone,multitask_notifications,sedentary_behavior1,sedentary_behavior2,learning1,learning2,performance_reflects_potential,responsibilities_interfere
28-32 years,Female,Postgraduates,,Life Sciences,Research Work,Agree,Neutral,Neutral,Disagree,Mostly,Mostly,Often,Often,3-4 times/week,Sometimes,Agree,Disagree,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)","Use of Electronic Devices before bed, Irregular Routine",Strongly Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree
24-27 years,Male,Postgraduates,,Life Sciences,Research Work,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly,Mostly,Always,Always,Never,Always,Strongly Agree,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
24-27 years,Male,Postgraduates,,Business & Management Sciences,Online Business,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Extremely,Neutral,Always,Often,Daily,Sometimes,Agree,Neutral,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Strongly Agree
18-23 years,Male,Undergraduate,1st Year,Computational Sciences,Online Business,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Extremely,A little,Always,Always,3-4 times/week,Always,Strongly Agree,Strongly Agree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Does not apply to me,Disagree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,"Research Work, Volunteering",Strongly Agree,Agree,Agree,Strongly Agree,Mostly,Mostly,Always,Often,3-4 times/week,Often,Agree,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Research Work,Strongly Agree,Neutral,Agree,Disagree,Mostly,Extremely,Always,Sometimes,3-4 times/week,Always,Neutral,Neutral,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Does not apply to me,Agree,Agree,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree
24-27 years,Female,Postgraduates,,Social Sciences,Internship,Agree,Agree,Neutral,Neutral,A little,Mostly,Often,Sometimes,1-2 times/week,Often,Agree,Strongly Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree
18-23 years,Female,Postgraduates,,Life Sciences,"Internship, Online Business, Research Work",Strongly Agree,Agree,Neutral,Agree,Mostly,A little,Often,Occasionally,Daily,Sometimes,Strongly Agree,Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)","Academic Workload, Use of Electronic Devices before bed, Irregular Routine",Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Disagree
24-27 years,Male,Postgraduates,,Applied Sciences,"Online Business, Volunteering",Strongly Agree,Agree,Disagree,Agree,Not at all,A little,Always,Sometimes,1-2 times/week,Often,Strongly Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)","Use of Electronic Devices before bed, Irregular Routine",Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree
24-27 years,Female,Postgraduates,,Life Sciences,Part-time Job,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Mostly,Mostly,Always,Always,1-2 times/week,Often,Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral
24-27 years,Male,Postgraduates,,Natural Sciences,,Strongly Agree,Neutral,Agree,Neutral,Mostly,Mostly,Always,Often,1-2 times/week,Often,Agree,Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Academic Workload,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree
18-23 years,Female,Postgraduates,,Natural Sciences,,Neutral,Agree,Disagree,Neutral,Mostly,Mostly,Often,Sometimes,1-2 times/week,Often,Neutral,Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows)","Academic Workload, Stress or Anxiety, Irregular Routine",Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral
18-23 years,Female,Postgraduates,,Natural Sciences,,Strongly Agree,Agree,Neutral,Agree,Extremely,Extremely,Always,Always,Never,Occasionally,Agree,Strongly Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Neutral,Strongly Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Agree,Strongly Disagree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Neutral,Neutral,Neutral,Disagree,Not at all,Not at all,Occasionally,Always,Daily,Always,Neutral,Agree,Less than 2 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Disagree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,Online Business,Strongly Agree,Agree,Neutral,Strongly Agree,Mostly,Mostly,Always,Sometimes,3-4 times/week,Sometimes,Neutral,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Strongly Agree,Neutral,Agree,Neutral,A little,Mostly,Often,Always,1-2 times/week,Sometimes,Strongly Agree,Agree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Social Media Scrolling / Doomscrolling",Academic Workload,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral
18-23 years,Male,Undergraduate,1st Year,Computational Sciences,,Agree,Agree,Agree,Neutral,Mostly,Extremely,Sometimes,Often,Daily,Often,Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Irregular Routine",Neutral,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree
24-27 years,Male,Undergraduate,3rd Year,Computational Sciences,Part-time Job,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Mostly,Extremely,Always,Always,Never,Always,Strongly Agree,Strongly Disagree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload,Strongly Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree
18-23 years,Female,Undergraduate,3rd Year,Humanities,,Strongly Agree,Neutral,Agree,Strongly Disagree,Mostly,Neutral,Sometimes,Often,5-6 times/week,Sometimes,Strongly Agree,Strongly Agree,4-6 hours,Social Media Scrolling / Doomscrolling,Irregular Routine,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree
24-27 years,Female,Undergraduate,4th Year,Natural Sciences,Full time job ,Agree,Strongly Agree,Agree,Neutral,Extremely,Extremely,Sometimes,Sometimes,3-4 times/week,Often,Strongly Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Use of Electronic Devices before bed,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Neutral,Agree
18-23 years,Male,Undergraduate,1st Year,Life Sciences,Volunteering,Strongly Agree,Agree,Neutral,Disagree,Mostly,Mostly,Often,Sometimes,3-4 times/week,Sometimes,Agree,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Strongly Agree,Neutral,Agree,Disagree,Mostly,Extremely,Sometimes,Occasionally,3-4 times/week,Never,Strongly Agree,Strongly Agree,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Use of Electronic Devices before bed,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Disagree
18-23 years,Female,Undergraduate,1st Year,Computational Sciences,,Agree,Neutral,Agree,Agree,Extremely,Extremely,Always,Sometimes,1-2 times/week,Always,Agree,Strongly Agree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Use of Electronic Devices before bed,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree
18-23 years,Male,Undergraduate,4th Year,Computational Sciences,Internship,Agree,Agree,Strongly Agree,Strongly Agree,Extremely,Mostly,Sometimes,Occasionally,1-2 times/week,Often,Strongly Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Neutral
28-32 years,Male,Postgraduates,,Applied Sciences,Full Time Job,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Extremely,Often,Occasionally,3-4 times/week,Never,Agree,Disagree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Irregular Routine,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Neutral,Agree,Agree
18-23 years,Female,Postgraduates,,Natural Sciences,Teacher,Strongly Agree,Agree,Agree,Agree,Mostly,Mostly,Often,Often,1-2 times/week,Often,Agree,Neutral,Less than 2 hours,Social Media Scrolling / Doomscrolling,Academic Workload,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,2nd Year,Computational Sciences,,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Extremely,Sometimes,Sometimes,1-2 times/week,Often,Agree,Agree,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree
18-23 years,Female,Undergraduate,2nd Year,Computational Sciences,Online Courses ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Mostly,Mostly,Sometimes,Always,1-2 times/week,Sometimes,Agree,Strongly Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree
18-23 years,Female,Undergraduate,1st Year,Life Sciences,,Agree,Strongly Agree,Agree,Agree,Extremely,Extremely,Always,Often,1-2 times/week,Always,Strongly Agree,Strongly Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral
18-23 years,Female,Undergraduate,3rd Year,Computational Sciences,,Agree,Agree,Neutral,Agree,Mostly,Mostly,Often,Often,1-2 times/week,Sometimes,Strongly Agree,Neutral,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Academic Workload,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,Part-time Job,Neutral,Neutral,Neutral,Agree,Not at all,Mostly,Sometimes,Occasionally,1-2 times/week,Often,Disagree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling ",Academic Workload,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,Internship,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Occasionally,Occasionally,1-2 times/week,Sometimes,Neutral,Disagree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)","Academic Workload, Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
18-23 years,Male,Undergraduate,,Life Sciences,Part-time Job,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Mostly,Mostly,Always,Sometimes,1-2 times/week,Sometimes,Agree,Agree,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Agree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree
18-23 years,Female,Undergraduate,2nd Year,Computational Sciences,,Strongly Disagree,Neutral,Disagree,Neutral,Not at all,Extremely,Always,Sometimes,1-2 times/week,Occasionally,Agree,Strongly Agree,More than 8 hours,Social Media Scrolling / Doomscrolling,Irregular Routine,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,Online Business,Agree,Neutral,Agree,Agree,Not at all,Neutral,Sometimes,Always,1-2 times/week,Sometimes,Agree,Neutral,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Stress or Anxiety,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,3rd Year,Computational Sciences,,Neutral,Strongly Disagree,Disagree,Disagree,Not at all,Not at all,Often,Occasionally,5-6 times/week,Sometimes,Strongly Agree,Strongly Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Academic Workload,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
18-23 years,Male,Undergraduate,3rd Year,Computational Sciences,,Agree,Disagree,Neutral,Agree,A little,Mostly,Always,Often,1-2 times/week,Sometimes,Agree,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral
18-23 years,Male,Undergraduate,3rd Year,Computational Sciences,,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Mostly,Sometimes,Often,1-2 times/week,Often,Agree,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Use of Electronic Devices before bed,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree
18-23 years,Male,Undergraduate,3rd Year,Computational Sciences,,Strongly Agree,Agree,Agree,Agree,Neutral,Extremely,Often,Often,1-2 times/week,Sometimes,Agree,Strongly Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Disagree
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,,Agree,Neutral,Neutral,Disagree,Mostly,Mostly,Often,Often,1-2 times/week,Often,Neutral,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Irregular Routine",Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral
18-23 years,Female,Undergraduate,3rd Year,Natural Sciences,,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Sometimes,Sometimes,1-2 times/week,Always,Agree,Disagree,Less than 2 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Irregular Routine,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,Research Work,Agree,Agree,Agree,Agree,Mostly,Mostly,Sometimes,Sometimes,1-2 times/week,Sometimes,Agree,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,Dairy Farmer,Agree,Agree,Neutral,Neutral,Mostly,Mostly,Always,Always,1-2 times/week,Always,Agree,Neutral,2-4 hours,"Entertainment / Passive Browsing (memes, videos, shows)",l am work on dairy so we don't arrange sleep time for 7 to 8 hour,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,Remote Job or Project-based Work,Agree,Strongly Agree,Agree,Strongly Agree,Extremely,A little,Often,Often,Daily,Occasionally,Neutral,Neutral,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree
18-23 years,Female,Undergraduate,1st Year,Life Sciences,,Neutral,Agree,Agree,Neutral,A little,Extremely,Sometimes,Occasionally,5-6 times/week,Sometimes,Neutral,Agree,More than 8 hours,Social Media Scrolling / Doomscrolling,Use of Electronic Devices before bed,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Agree,Neutral,Neutral
18-23 years,Female,Undergraduate,3rd Year,Computational Sciences,,Agree,Agree,Neutral,Neutral,A little,Neutral,Sometimes,Sometimes,3-4 times/week,Sometimes,Neutral,Disagree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Neutral
18-23 years,Male,Undergraduate,3rd Year,Computational Sciences,,Agree,Disagree,Disagree,Disagree,Mostly,Extremely,Occasionally,Occasionally,1-2 times/week,Never,Agree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)","Use of Electronic Devices before bed, Irregular Routine",Strongly Agree,Neutral,Strongly Disagree,Neutral,Strongly Agree,Agree,Disagree,Agree,Neutral
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Sometimes,Always,1-2 times/week,Sometimes,Neutral,Neutral,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Use of Electronic Devices before bed,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
18-23 years,Male,Undergraduate,3rd Year,Computational Sciences,Part-time Job,Agree,Agree,Neutral,Agree,Neutral,Mostly,Often,Sometimes,3-4 times/week,Sometimes,Strongly Agree,Strongly Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Use of Electronic Devices before bed,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Neutral
18-23 years,Male,Undergraduate,4th Year,Life Sciences,Tutoring (self-employed),Agree,Strongly Agree,Neutral,Agree,Extremely,Extremely,Sometimes,Occasionally,3-4 times/week,Sometimes,Strongly Agree,Strongly Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)",Academic Workload,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Disagree,Neutral
18-23 years,Female,Undergraduate,3rd Year,Life Sciences,"Internship, Research Work, Volunteering",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Extremely,Extremely,Often,Occasionally,Never,Often,Strongly Agree,Strongly Disagree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Computational Sciences,Online Business,Agree,Agree,Agree,Neutral,Mostly,Extremely,Often,Often,5-6 times/week,Sometimes,Disagree,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)","Academic Workload, Use of Electronic Devices before bed, Stress or Anxiety",Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Natural Sciences,,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Not at all,Occasionally,Occasionally,3-4 times/week,Never,Agree,Agree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows)","Academic Workload, Stress or Anxiety",Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree
24-27 years,Female,Postgraduates,,Natural Sciences,,Agree,Neutral,Agree,Agree,Mostly,Neutral,Always,Occasionally,5-6 times/week,Often,Neutral,Strongly Agree,Less than 2 hours,Social Media Scrolling / Doomscrolling,Irregular Routine,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree
18-23 years,Male,Postgraduates,,Life Sciences,Research Work,Strongly Agree,Agree,Agree,Strongly Agree,Mostly,Mostly,Always,Occasionally,1-2 times/week,Sometimes,Agree,Neutral,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)","Academic Workload, Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Disagree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,"None, Volunteering",Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Extremely,Always,Never,Daily,Sometimes,Strongly Agree,Strongly Agree,More than 8 hours,Social Media Scrolling / Doomscrolling,"Use of Electronic Devices before bed, Irregular Routine",Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree
18-23 years,Male,Undergraduate,2nd Year,Applied Sciences,Online Business,Disagree,Neutral,Agree,Neutral,Mostly,Neutral,Occasionally,Occasionally,3-4 times/week,Occasionally,Agree,Strongly Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Academic Workload and Work on personal business,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Strongly Agree
18-23 years,Male,Undergraduate,4th Year,Applied Sciences,"Part-time Job, Online Business",Neutral,Agree,Agree,Neutral,A little,A little,Sometimes,Occasionally,3-4 times/week,Sometimes,Neutral,Agree,2-4 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Stress or Anxiety,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree
18-23 years,Female,Undergraduate,1st Year,Life Sciences,,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Mostly,Often,Sometimes,1-2 times/week,Sometimes,Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)","Use of Electronic Devices before bed, Irregular Routine",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Strongly Disagree
18-23 years,Male,Undergraduate,2nd Year,Natural Sciences,Internship,Agree,Agree,Neutral,Disagree,Mostly,A little,Often,Sometimes,3-4 times/week,Often,Strongly Agree,Strongly Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree
18-23 years,Male,Undergraduate,3rd Year,Computational Sciences,Part-time Job,Neutral,Agree,Agree,Agree,Mostly,Extremely,Sometimes,Often,3-4 times/week,Always,Agree,Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling",Irregular Routine,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree
18-23 years,Female,Undergraduate,2nd Year,Computational Sciences,,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Sometimes,Sometimes,Daily,Always,Strongly Agree,Strongly Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Irregular Routine,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Online Business,Agree,Agree,Agree,Agree,Extremely,Extremely,Always,Sometimes,3-4 times/week,Often,Agree,Agree,Less than 2 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Does not apply to me,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree
24-27 years,Female,Postgraduates,,Natural Sciences,Part-time Job,Strongly Agree,Agree,Neutral,Agree,A little,Mostly,Often,Occasionally,1-2 times/week,Often,Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Academic Workload, Use of Electronic Devices before bed, Irregular Routine",Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,4th Year,Life Sciences,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Extremely,Often,Never,1-2 times/week,Occasionally,Strongly Agree,Agree,4-6 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Does not apply to me,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Disagree
18-23 years,Female,Undergraduate,1st Year,Life Sciences,,Agree,Agree,Neutral,Neutral,A little,Not at all,Sometimes,Often,1-2 times/week,Sometimes,Agree,Neutral,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Does not apply to me,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
18-23 years,Male,Undergraduate,4th Year,Life Sciences,,Agree,Agree,Disagree,Agree,Mostly,Mostly,Always,Often,1-2 times/week,Sometimes,Agree,Strongly Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Does not apply to me,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree
18-23 years,Male,Postgraduates,,Life Sciences,Volunteering,Strongly Agree,Agree,Disagree,Agree,Extremely,Mostly,Often,Sometimes,Never,Often,Strongly Agree,Agree,6-8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Irregular Routine",Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral
18-23 years,Female,Undergraduate,4th Year,Life Sciences,Part-time Job,Neutral,Strongly Agree,Agree,Agree,Extremely,Extremely,Always,Often,Never,Always,Agree,Strongly Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Use of Electronic Devices before bed,Agree,Agree,Agree,Disagree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral
