age_range,gender,study_level,study_year,study_field ,extracurricular_activities,cog_engage1,cog_engage2,cog_engage3,cog_engage4,exercise_improve_cognition,exercise_regulate_emotion,nature_improve,nutritional_balanced_freq,junk_food_freq,nutritional_mood_focus,creative_activities_benefits,doomscroll_exhaust,screen_time,screen_content,sleep_deprivation_reason,sleep_disrupt_flexibility,multitask_check_phone,multitask_notifications,sedentary_behavior1,sedentary_behavior2,learning1,learning2,performance_reflects_potential,responsibilities_interfere
24-27 years,Female,Postgraduates,,Business & Management Sciences,"Part-time Job, Online Business",Strongly Agree,Neutral,Agree,Neutral,Mostly,Extremely,Always,Always,1-2 times/week,Always,Agree,Neutral,Less than 2 hours,"Thoughtful / Educational Content (learning, coding, reading, research)",Stress or Anxiety,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Neutral,Agree,Neutral
33-40 years,Female,Postgraduates,,Humanities,,Neutral,Neutral,Neutral,Neutral,A little,A little,Sometimes,Often,1-2 times/week,Often,Strongly Agree,Strongly Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Use of Electronic Devices before bed, Stress or Anxiety, Irregular Routine",Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree
24-27 years,Male,Postgraduates,,Humanities,Online Business,Strongly Agree,Strongly Agree,Agree,Agree,Mostly,Extremely,Always,Often,1-2 times/week,Always,Strongly Agree,Agree,More than 8 hours,"Entertainment / Passive Browsing (memes, videos, shows)","Stress or Anxiety, Irregular Routine",Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral
18-23 years,Female,Undergraduate,4th Year,Life Sciences,,Agree,Agree,Agree,Agree,Mostly,Mostly,Often,Sometimes,3-4 times/week,Sometimes,Neutral,Agree,6-8 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Stress or Anxiety,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Neutral
18-23 years,Female,Undergraduate,3rd Year,Life Sciences,,Agree,Neutral,Agree,Neutral,A little,Mostly,Often,Often,3-4 times/week,Always,Agree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Does not apply to me,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Life Sciences,"Part-time Job, Internship, Online Business, Research Work, Volunteering",Strongly Agree,Agree,Neutral,Strongly Agree,Extremely,Mostly,Sometimes,Often,1-2 times/week,Often,Neutral,Strongly Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Does not apply to me,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree
18-23 years,Male,Undergraduate,4th Year,Computational Sciences,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Mostly,Often,Never,5-6 times/week,Sometimes,Strongly Agree,Strongly Agree,More than 8 hours,"Thoughtful / Educational Content (learning, coding, reading, research), Entertainment / Passive Browsing (memes, videos, shows), Social Media Scrolling / Doomscrolling","Stress or Anxiety, Irregular Routine",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
18-23 years,Female,Undergraduate,2nd Year,Social Sciences,Volunteering,Agree,Agree,Agree,Agree,Mostly,Mostly,Always,Sometimes,3-4 times/week,Sometimes,Agree,Agree,More than 8 hours,Social Media Scrolling / Doomscrolling,Does not apply to me,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree
28-32 years,Female,Postgraduates,,Life Sciences,Self-Study,Strongly Agree,Agree,Agree,Agree,Extremely,Mostly,Occasionally,Often,1-2 times/week,Sometimes,Agree,Agree,4-6 hours,"Entertainment / Passive Browsing (memes, videos, shows)",Use of Electronic Devices before bed,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree
18-23 years,Female,Undergraduate,4th Year,Health Sciences,,Agree,Disagree,Disagree,Agree,A little,Mostly,Occasionally,Never,Daily,Always,Neutral,Agree,6-8 hours,Social Media Scrolling / Doomscrolling,Stress or Anxiety,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral
